article,series,series-id,episode,language,category,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
01-0000,Geschichten vom Löwen,,"Die Geschichte vom Löwen, der nicht schreiben konnte",de-de,Hörspiele & Hörbücher,,,1,1,1,2
01-0001,Janosch,janosch,"Oh, wie schön ist Panama",de-de,audio-play,eb5b755b-aae7-4415-8cef-7c8888198376,https://tonies.com/de-de/tonies/janosch/oh-wie-schoen-ist-panama/,1,1,1,2
01-0002,Die Olchis,die-olchis,Die Olchis auf Geburtstagsreise,de-de,audio-play,0e8d4e89-5225-41c1-a9ae-b86ba791c950,https://tonies.com/de-de/tonies/die-olchis/die-olchis-auf-geburtstagsreise/,1,1,1,2
01-0003,Die Olchis,die-olchis,Die Olchis und der schwarze Pirat,de-de,audio-play,55e5b220-aa7c-4ca7-b070-5dce7fbce71d,https://tonies.com/de-de/tonies/die-olchis/die-olchis-und-der-schwarze-pirat/,1,1,1,2
01-0004,Die Olchi-Detektive,,Das Erbe der Piraten,de-de,audio-play,,,1,1,1,1
01-0005,Der kleine Rabe Socke,der-kleine-rabe-socke,Alles erlaubt?,de-de,audio-play,2d36fe2a-81e9-42ef-90a7-31faab6509c2,https://tonies.com/de-de/tonies/der-kleine-rabe-socke/alles-erlaubt/,1,1,1,3
01-0006,Maus,maus,(M)auserlesene Lieder,de-de,music,40c54e57-495c-4134-a8f7-b3e660ca99d6,https://tonies.com/de-de/tonies/maus/mauserlesene-lieder-1/,1,1,1,2
01-0007,Das Sams,das-sams,Eine Woche voller Samstage,de-de,audio-play,233fa707-b983-4440-bad5-72af0d00ebaa,https://tonies.com/de-de/tonies/das-sams/eine-woche-voller-samstage/,1,1,1,2
01-0008,Das Sams,,Am Samstag kam das Sams zurück,de-de,audio-play,,,1,1,1,2
01-0009,Bobo Siebenschläfer,bobo-siebenschlaefer,Bobos Ausflug zum Spielplatz,de-de,audio-play,82cdeab9-b995-4e52-a555-032c216d4c48,https://tonies.com/de-de/tonies/bobo-siebenschlaefer/bobos-ausflug-zum-spielplatz/,1,1,1,1
01-0010,Conni,,Conni kommt in den Kindergarten / Conni macht das Seepferdchen,de-de,audio-play,,,1,1,1,1
01-0011,Conni,,Conni auf dem Bauernhof / Conni und das neue Baby,de-de,audio-play,,,1,1,1,2
01-0012,Bibi Blocksberg,bibi-blocksberg,Hexen gibt es doch,de-de,audio-play,605e7271-1678-45d8-954f-92e31e5368db,https://tonies.com/de-de/tonies/bibi-blocksberg/hexen-gibt-es-doch/,1,1,1,2
01-0013,Benjamin Blümchen,benjamin-bluemchen,Der Zoo-Kindergarten,de-de,audio-play,d3678e1a-1af7-4ecb-8509-3fe4cfa0bec9,https://tonies.com/de-de/tonies/benjamin-bluemchen/der-zoo-kindergarten/,1,1,1,1
01-0014,Benjamin Blümchen,benjamin-bluemchen,Benjamin als Baggerfahrer,de-de,audio-play,ba8a6c9e-79b4-4160-8081-38b68210d2c5,https://tonies.com/de-de/tonies/benjamin-bluemchen/als-baggerfahrer/,1,1,1,1
01-0018,Kleiner Eisbär,,"Lars, lass mich nicht allein! / Lars und der Angsthase",de-de,audio-play,,,1,1,1,1
01-0019,Der Grüffelo,,Der Grüffelo,de-de,audio-play,,,1,1,1,1
01-0020,Die Olchis,,Die Olchis werden Fußballmeister,de-de,audio-play,,,1,1,1,2
01-0021,Unter meinem Bett,unter-meinem-bett,Unter meinem Bett 1,de-de,music,ec25e761-99c0-44aa-b81f-698b19850cd7,https://tonies.com/de-de/tonies/unter-meinem-bett/neue-songs-fuer-kinder/,1,1,1,2
01-0022,Janosch,janosch,"Ich mach dich gesund, sagte der Bär",de-de,audio-play,a2469970-baff-406d-bdea-8738a1a7cf0b,https://tonies.com/de-de/tonies/janosch/ich-mach-dich-gesund-sagte-der-baer/,1,1,1,2
01-0023,Der kleine Drache Kokosnuss,der-kleine-drache-kokosnuss,Hörspiel zur TV-Serie 01,de-de,audio-play,bde413d8-ccaa-4a90-ba87-a04170e24f83,https://tonies.com/de-de/tonies/der-kleine-drache-kokosnuss/hoerspiel-zur-tv-serie/,1,1,1,2
01-0024,Bobo Siebenschläfer,bobo-siebenschlaefer,Bobo feiert Kindergeburtstag,de-de,audio-play,9a148671-dd2a-4b18-b9e2-cb6adf5731df,https://tonies.com/de-de/tonies/bobo-siebenschlaefer/bobo-feiert-kindergeburtstag/,1,1,1,2
01-0025,Teufelskicker,teufelskicker,Moritz macht das Spiel!,de-de,audio-play,8fa1ff00-36b2-4c71-abc4-0f5b0a333178,https://tonies.com/de-de/tonies/teufelskicker/moritz-macht-das-spiel/,1,1,1,2
01-0027,Ritter Rost,ritter-rost,Die Zauberinsel,de-de,audio-play,13744457-00e2-4f92-a0ed-99a44c992fb0,https://tonies.com/de-de/tonies/ritter-rost/die-zauberinsel/,1,1,1,1
01-0028,Conni,,Conni backt Pizza / Conni lernt Rad fahren,de-de,audio-play,,,1,1,1,2
01-0030,Bibi Blocksberg,bibi-blocksberg,Die große Hexenparty,de-de,audio-play,f317e975-aa6d-4176-8da8-853ab6630589,https://tonies.com/de-de/tonies/bibi-blocksberg/die-grosse-hexenparty/,1,1,1,3
01-0031,Wickie,wickie,Wasser auf die Mühlen,de-de,audio-play,64f4f6b3-577e-41cb-a309-02b70ad52092,https://tonies.com/de-de/tonies/wickie/wasser-auf-die-muehlen/,1,1,1,1
01-0032,Heidi,heidi,Die Reise zum Großvater,de-de,audio-play,19c25a43-91da-4de3-98ae-4b1b96fd0020,https://tonies.com/de-de/tonies/heidi/die-reise-zum-grossvater/,1,1,1,2
01-0033,Der Räuber Hotzenplotz,,Der Räuber Hotzenplotz,de-de,Hörspiele & Hörbücher,,,1,2,1,2
01-0034,Griechische Sagen,,Griechische Sagen,de-de,Wissen,,,1,1,1,1
01-0035,Der kleine Rabe Socke,der-kleine-rabe-socke,Alles vermurkst!,de-de,audio-play,2edc5af1-7ad7-4a94-bcc5-62090f1636d5,https://tonies.com/de-de/tonies/der-kleine-rabe-socke/alles-vermurkst-und-weitere-geschichten/,1,1,1,2
01-0036,Bibi & Tina,bibi-tina,Die Wildpferde – Teil 1,de-de,audio-play,6546cbfc-ca07-47d9-8d5e-b40d870f9590,https://tonies.com/de-de/tonies/bibi-tina/die-wildpferde-teil-1/,1,2,1,2
01-0037,Bibi & Tina,bibi-tina,Die Wildpferde – Teil 2,de-de,audio-play,2bfe7199-71f4-46f0-b0fc-598b4a705111,https://tonies.com/de-de/tonies/bibi-tina/die-wildpferde-teil-2/,1,1,1,3
01-0038,WAS IST WAS,was-ist-was,Dinosaurier / Ausgestorbene Tiere,de-de,audio-play-educational,3a2d6cd8-5fa0-4d00-8838-4f7a3f4079fb,https://tonies.com/de-de/tonies/was-ist-was/dinosaurier-und-ausgestorbene-tiere/,1,2,1,1
01-0039,WAS IST WAS,was-ist-was,Wunderbare Pferde/Reitervolk Mongolen,de-de,audio-play-educational,4da18618-61c2-4159-8504-73faea22e89e,https://tonies.com/de-de/tonies/was-ist-was/was-ist-was-wunderbare-pferde-reitervolk-mongolen/,1,1,1,1
01-0040,Unter meinem Bett,,Unter meinem Bett 2,de-de,music,,,1,1,1,2
01-0041,Die drei ??? Kids,,Panik im Paradies,de-de,audio-play,,,1,1,1,2
01-0042,Die drei ??? Kids,,Radio Rocky Beach,de-de,audio-play,,,1,1,1,2
