article,series,series-id,episode,language,category,origin,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
,Coming Soon,,,en-us,Tonie,stock,8250222477463,,1,0,0,0
00000000,Coming Soon Tonie 1,,,en-us,Tonie,stock,8250222477463,,1,0,0,0
01-0000,Geschichten vom Löwen,,"Die Geschichte vom Löwen, der nicht schreiben konnte",de-de,Hörspiele & Hörbücher,stock,,,1,1,1,5
01-0001,Janosch,janosch,"Oh, wie schön ist Panama",de-de,audio-play,stock,eb5b755b-aae7-4415-8cef-7c8888198376,https://tonies.com/de-de/tonies/janosch/oh-wie-schoen-ist-panama/,1,1,1,2
01-0002,Die Olchis,die-olchis,Die Olchis auf Geburtstagsreise,de-de,audio-play,stock,0e8d4e89-5225-41c1-a9ae-b86ba791c950,https://tonies.com/de-de/tonies/die-olchis/die-olchis-auf-geburtstagsreise/,1,1,1,2
01-0003,Die Olchis,die-olchis,Die Olchis und der schwarze Pirat,de-de,audio-play,stock,55e5b220-aa7c-4ca7-b070-5dce7fbce71d,https://tonies.com/de-de/tonies/die-olchis/die-olchis-und-der-schwarze-pirat/,1,1,1,2
01-0004,Die Olchi-Detektive,,Das Erbe der Piraten,de-de,audio-play,stock,,,1,1,1,1
01-0005,Der kleine Rabe Socke,der-kleine-rabe-socke,Alles erlaubt?,de-de,audio-play,stock,2d36fe2a-81e9-42ef-90a7-31faab6509c2,https://tonies.com/de-de/tonies/der-kleine-rabe-socke/alles-erlaubt/,1,1,1,3
01-0006,Maus,maus,(M)auserlesene Lieder,de-de,music,stock,40c54e57-495c-4134-a8f7-b3e660ca99d6,https://tonies.com/de-de/tonies/maus/mauserlesene-lieder-1/,1,1,1,4
01-0007,Das Sams,das-sams,Eine Woche voller Samstage,de-de,audio-play,stock,233fa707-b983-4440-bad5-72af0d00ebaa,https://tonies.com/de-de/tonies/das-sams/eine-woche-voller-samstage/,1,1,1,3
01-0008,Das Sams,,Am Samstag kam das Sams zurück,de-de,audio-play,stock,,,1,1,1,2
01-0009,Bobo Siebenschläfer,bobo-siebenschlaefer,Bobos Ausflug zum Spielplatz,de-de,audio-play,stock,82cdeab9-b995-4e52-a555-032c216d4c48,https://tonies.com/de-de/tonies/bobo-siebenschlaefer/bobos-ausflug-zum-spielplatz/,1,1,1,1
01-0010,Conni,,Conni kommt in den Kindergarten / Conni macht das Seepferdchen,de-de,audio-play,stock,,,1,1,1,2
01-0011,Conni,,Conni auf dem Bauernhof / Conni und das neue Baby,de-de,audio-play,stock,,,1,1,1,2
01-0012,Bibi Blocksberg,bibi-blocksberg,Hexen gibt es doch,de-de,audio-play,stock,605e7271-1678-45d8-954f-92e31e5368db,https://tonies.com/de-de/tonies/bibi-blocksberg/hexen-gibt-es-doch/,1,1,1,4
01-0013,Benjamin Blümchen,benjamin-bluemchen,Der Zoo-Kindergarten,de-de,audio-play,stock,d3678e1a-1af7-4ecb-8509-3fe4cfa0bec9,https://tonies.com/de-de/tonies/benjamin-bluemchen/der-zoo-kindergarten/,1,1,1,2
01-0014,Benjamin Blümchen,benjamin-bluemchen,Benjamin als Baggerfahrer,de-de,audio-play,stock,ba8a6c9e-79b4-4160-8081-38b68210d2c5,https://tonies.com/de-de/tonies/benjamin-bluemchen/als-baggerfahrer/,1,1,1,2
01-0018,Kleiner Eisbär,,"Lars, lass mich nicht allein! / Lars und der Angsthase",de-de,audio-play,stock,,,1,1,1,4
01-0019,Der Grüffelo,,Der Grüffelo,de-de,audio-play,stock,,,1,1,1,2
01-0020,Die Olchis,die-olchis,Die Olchis werden Fußballmeister,de-de,audio-play,stock,f5202347-4881-4e82-9f81-a0ebe56e1a68,https://tonies.com/de-de/tonies/die-olchis/die-olchis-werden-fussballmeister/,1,1,1,2
01-0021,Unter meinem Bett,unter-meinem-bett,Unter meinem Bett 1,de-de,music,stock,ec25e761-99c0-44aa-b81f-698b19850cd7,https://tonies.com/de-de/tonies/unter-meinem-bett/neue-songs-fuer-kinder/,1,1,1,3
01-0022,Janosch,janosch,"Ich mach dich gesund, sagte der Bär",de-de,audio-play,stock,a2469970-baff-406d-bdea-8738a1a7cf0b,https://tonies.com/de-de/tonies/janosch/ich-mach-dich-gesund-sagte-der-baer/,1,1,1,3
01-0023,Der kleine Drache Kokosnuss,der-kleine-drache-kokosnuss,Hörspiel zur TV-Serie 01,de-de,audio-play,stock,bde413d8-ccaa-4a90-ba87-a04170e24f83,https://tonies.com/de-de/tonies/der-kleine-drache-kokosnuss/hoerspiel-zur-tv-serie/,1,1,1,3
01-0024,Bobo Siebenschläfer,bobo-siebenschlaefer,Bobo feiert Kindergeburtstag,de-de,audio-play,stock,9a148671-dd2a-4b18-b9e2-cb6adf5731df,https://tonies.com/de-de/tonies/bobo-siebenschlaefer/bobo-feiert-kindergeburtstag/,1,1,1,3
01-0025,Teufelskicker,teufelskicker,Moritz macht das Spiel!,de-de,audio-play,stock,8fa1ff00-36b2-4c71-abc4-0f5b0a333178,https://tonies.com/de-de/tonies/teufelskicker/moritz-macht-das-spiel/,1,1,1,2
01-0027,Ritter Rost,ritter-rost,Die Zauberinsel,de-de,audio-play,stock,13744457-00e2-4f92-a0ed-99a44c992fb0,https://tonies.com/de-de/tonies/ritter-rost/die-zauberinsel/,1,1,1,1
01-0028,Conni,,Conni backt Pizza / Conni lernt Rad fahren,de-de,audio-play,stock,,,1,1,1,2
01-0030,Bibi Blocksberg,bibi-blocksberg,Die große Hexenparty,de-de,audio-play,stock,f317e975-aa6d-4176-8da8-853ab6630589,https://tonies.com/de-de/tonies/bibi-blocksberg/die-grosse-hexenparty/,1,1,1,3
01-0031,Wickie,wickie,Wasser auf die Mühlen,de-de,audio-play,stock,64f4f6b3-577e-41cb-a309-02b70ad52092,https://tonies.com/de-de/tonies/wickie/wasser-auf-die-muehlen/,1,1,1,2
