article,series,series-id,episode,language,category,origin,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
10001352,,,,,,stock,,,1,1,1,1
2000010646,TKKG Junior,tkkg-junior,Adventskalender - Der widerliche Weihnachtswichtel,,,tunes,06c8adf1-fa22-43d0-ab60-27ad42242cdd,https://tonies.com/de-de/audio-content/tkkg-junior/tkkg-junior-adventskalender-der-widerliche-weihnac/,1,0,0,0
2000010647,Die drei ???,die-drei-fragezeichen,Adventskalender - Böser die Glocken nie klingen,,,tunes,df41add5-d786-4e3e-af74-098e544b9ce1,https://tonies.com/de-de/audio-content/die-drei-fragezeichen/die-drei-adventskalender-boser-die-glocken-nie-kli/,1,0,0,0
2000010648,Fünf Freunde,fuenf-freunde,Adventskalender - Fünf Freunde und das Abenteuer im Wald,,,tunes,0f77b3b3-cb47-489a-8f27-2cb9e29c1fda,https://tonies.com/de-de/audio-content/fuenf-freunde/funf-freunde-adventskalender-funf-freunde-und-das/,1,0,0,0
box-de-de-01-00000000,,,,,,stock,,,1,1,1,1
box-de-de-01-00000007,,,,,,stock,,,1,1,1,1
box-de-de-01-00000008,,,,,,stock,,,1,1,1,1
box-de-de-01-0000000A,,,,,,stock,,,1,1,1,1
box-de-de-01-00000011,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000000,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000001,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000002,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000003,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000006,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000007,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000008,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000009,,,,,,stock,,,1,1,1,1
box-en-gb-00-0000000A,,,,,,stock,,,1,1,1,1
box-en-gb-00-0000000B,,,,,,stock,,,1,1,1,1
box-en-gb-00-0000000D,,,,,,stock,,,1,1,1,1
box-en-gb-00-0000000E,,,,,,stock,,,1,1,1,1
box-en-gb-00-0000000F,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000010,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000011,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000012,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000013,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000014,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000015,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000016,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000017,,,,,,stock,,,1,1,1,1
box-en-gb-00-00000018,,,,,,stock,,,1,1,1,1
box-en-us-02-00000000,,,,,,stock,,,1,1,1,1
box-en-us-02-00000001,,,,,,stock,,,1,1,1,1
box-en-us-02-00000002,,,,,,stock,,,1,1,1,1
box-en-us-02-00000003,,,,,,stock,,,1,1,1,1
box-en-us-02-00000006,,,,,,stock,,,1,1,1,1
box-en-us-02-00000007,,,,,,stock,,,1,1,1,1
box-en-us-02-00000008,,,,,,stock,,,1,1,1,1
box-en-us-02-00000009,,,,,,stock,,,1,1,1,1
box-en-us-02-0000000A,,,,,,stock,,,1,1,1,1
box-en-us-02-0000000B,,,,,,stock,,,1,1,1,1
box-en-us-02-0000000D,,,,,,stock,,,1,1,1,1
box-en-us-02-0000000E,,,,,,stock,,,1,1,1,1
box-en-us-02-0000000F,,,,,,stock,,,1,1,1,1
box-en-us-02-00000010,,,,,,stock,,,1,1,1,1
box-en-us-02-00000011,,,,,,stock,,,1,1,1,1
box-en-us-02-00000012,,,,,,stock,,,1,1,1,1
box-en-us-02-00000013,,,,,,stock,,,1,1,1,1
box-en-us-02-00000014,,,,,,stock,,,1,1,1,1
box-en-us-02-00000015,,,,,,stock,,,1,1,1,1
box-en-us-02-00000016,,,,,,stock,,,1,1,1,1
box-en-us-02-00000017,,,,,,stock,,,1,1,1,1
box-en-us-02-00000018,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000000,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000001,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000002,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000003,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000006,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000007,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000008,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000009,,,,,,stock,,,1,1,1,1
box-fr-fr-03-0000000A,,,,,,stock,,,1,1,1,1
box-fr-fr-03-0000000B,,,,,,stock,,,1,1,1,1
box-fr-fr-03-0000000D,,,,,,stock,,,1,1,1,1
box-fr-fr-03-0000000E,,,,,,stock,,,1,1,1,1
box-fr-fr-03-0000000F,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000010,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000011,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000012,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000013,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000014,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000015,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000016,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000017,,,,,,stock,,,1,1,1,1
box-fr-fr-03-00000018,,,,,,stock,,,1,1,1,1
