article,series,series-id,episode,language,category,origin,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
,Coming Soon,,,en-us,Tonie,stock,8250222477463,,1,0,0,0
00000000,Coming Soon Tonie 1,,,en-us,Tonie,stock,8250222477463,,1,0,0,0
09-0008,Creative-Tonie,,Purple People with P (Starter Set limited Edition for US Start only),en-us,creative-tonie,stock,,,1,1,0,0
09-0009,Creative-Tonie,,Purple White with Star (Starter Set),en-us,creative-tonie,stock,,,1,0,0,0
09-0010,Creative-Tonie,,Purple Brown with Star (Starter Set),en-us,creative-tonie,stock,,,1,1,0,0
09-0011,Creative-Tonie,,Purple Black with Star (Starter Set),en-us,creative-tonie,stock,,,1,1,0,0
10000497,Disney,,The Jungle Book,en-us,Tonie,stock,5439113101463,,1,1,1,2
10000498,Disney,,The Lion King,en-us,Tonie,stock,5519213559959,,1,1,1,1
10000501,Disney & Pixar,,Cars: Lightning McQueen,en-us,Tonie,stock,5519190294679,,1,1,1,1
10000503,Disney,,The Little Mermaid,en-us,Tonie,stock,5519197634711,,1,1,1,1
10000504,Despicable Me Minion,,,en-us,Tonie,stock,5519699443863,,1,1,1,1
10000505,Favorite Classics,,Pinocchio & Other Classic Stories,en-us,Tonie,stock,5519079047319,,1,1,1,1
10000506,Favorite Tales,,Red Riding Hood and Other Fairy Tale Stories,en-us,Tonie,stock,7099444756631,,1,1,1,1
10000509,Disney,,Aladdin,en-us,Tonie,stock,6462404657303,,1,1,1,2
10000510,Disney,,Frozen: Elsa,en-us,Tonie,stock,5519647244439,,1,0,0,0
10000511,Disney & Pixar,,Toy Story: Woody,en-us,Tonie,stock,5519373369495,,1,0,0,0
10000512,Disney,,Cinderella,en-us,Tonie,stock,5519095791767,,1,0,0,0
10000513,Disney & Pixar,,Finding Nemo,en-us,Tonie,stock,5519143960727,,1,0,0,0
10000515,Disney,,Mulan,en-us,Tonie,stock,7011184312471,,1,1,1,1
10000517,Disney & Pixar,,"Monsters, Inc.",en-us,Tonie,stock,6807592665239,,1,1,1,2
10000534,Creative-Tonie,,Pirate,en-us,creative-tonie,stock,5519049130135,,1,0,0,0
10000537,Creative-Tonie,,Superhero - Blue/Red,en-us,creative-tonie,stock,6220672303255,,1,0,0,0
10000538,Favorite Children's Songs,,Playtime Songs,en-us,Tonie,stock,5519401975959,,1,1,1,2
10000539,Favorite Children's Songs,,Bedtime Songs,en-us,Tonie,stock,5519468626071,,1,1,1,2
10000540,Favorite Children's Songs,,Celebration Songs,en-us,Tonie,stock,5519481045143,,1,1,1,1
10000541,Julia Donaldson,,The Gruffalo,en-us,Tonie,stock,5458365776023,,1,1,1,1
10000542,Peter Rabbit,,,en-us,Tonie,stock,6462410752151,,1,1,1,1
10000543,Peppa Pig,,,en-us,Tonie,stock,6807578935447,,1,1,1,3
10000544,Spot's Fun with Friends,,,en-us,Tonie,stock,6220877955223,,1,1,1,1
10000546,Creative-Tonie,,Fairy,en-us,creative-tonie,stock,5519037366423,,1,0,0,0
10000547,Creative-Tonie,,Vampire,en-us,creative-tonie,stock,5515352014999,,1,0,0,0
10000548,Julia Donaldson,,Stick Man,en-us,Tonie,stock,5519181971607,,1,1,1,1
10000549,Julia Donaldson,,Zog,en-us,Tonie,stock,5519634989207,,1,1,1,1
10000550,Julia Donaldson,,Room on the Broom,en-us,Tonie,stock,6042920288407,,1,1,1,1
10000551,The Pontypandy Pack,,Fireman Sam,en-us,Tonie,stock,8134366888087,,1,1,1,1
10000553,Favorite Tales,,Rapunzel & Other Fairy Tales,en-us,Tonie,stock,5519419768983,,1,1,1,1
10000554,Favorite Classics,,A Christmas Carol & Tales,en-us,Tonie,stock,5519710683287,,1,1,1,1
10000555,Elmer & Friends Story Collection,,,en-us,Tonie,stock,6220876841111,,1,1,1,1
10000556,Guess How Much I Love You,,,en-us,Tonie,stock,6462409015447,,1,1,1,1
10000557,Favorite Children's Songs,,Animal Songs,en-us,Tonie,stock,7099440169111,,1,1,1,1
10000558,Favorite Children's Songs,,Counting Songs,en-us,Tonie,stock,5519656485015,,1,1,1,1
10000560,Favorite Children's Songs,,Traveling Songs,en-us,Tonie,stock,6661694652567,,1,1,1,2
10000561,Julia Donaldson,,Highway Rat,en-us,Tonie,stock,6807571431575,,1,1,1,1
10000562,Julia Donaldson,,The Gruffalo's Child,en-us,Tonie,stock,7065878364311,,1,1,1,1
10000568,Favorite Children's Songs,,Sing-Along Songs,en-us,Tonie,stock,8016776200343,,1,2,1,1
10000569,Favorite Tales,,Puss in Boots,en-us,Tonie,stock,7806510694551,,1,1,1,1
10000570,How to Train Your Dragon,,,en-us,Tonie,stock,7011182805143,,1,1,1,1
10000571,PAW Patrol,,Chase,en-us,Tonie,stock,7101766893719,,1,1,1,3
10000572,Paddington Bear,,,en-us,Tonie,stock,7269043372183,,1,1,1,1
10000575,Shrek,,,en-us,Tonie,stock,7173724930199,,1,1,1,1
10000620,Thomas & Friends,,Thomas the Tank Engine,en-us,Tonie,stock,8057956040855,,1,1,1,1
10000623,Disney,,Moana,en-us,Tonie,stock,7168607551639,,1,1,1,2
10000624,Masha & the Bear,,,en-us,Tonie,stock,7099443478679,,1,1,1,1
10000626,My Little Pony,,,en-us,Tonie,stock,7785751150743,,1,1,1,1
10000628,Creative-Tonie,,Monster,en-us,creative-tonie,stock,8056753422487,,1,0,0,0
10000629,Octonauts,,,en-us,Tonie,stock,7325111025815,,1,1,1,1
10000630,Sesame Street,,Cookie Monster,en-us,Tonie,stock,7099212398743,,1,1,1,2
10000631,Spirit Untamed,,,en-us,Tonie,stock,7395881812119,,1,1,1,1
10000632,Super Wings,,A World of Adventure,en-us,Tonie,stock,7065880428695,,1,1,1,1
10000633,Trolls,,Poppy,en-us,Tonie,stock,7065882984599,,1,1,1,1
10000635,Creative-Tonie,,Wizard,en-us,creative-tonie,stock,8056754176151,,1,1,0,0
10000637,Creative-Tonie,,Yeti,en-us,creative-tonie,stock,7274255974551,,1,0,0,0
