article,series,series-id,episode,language,category,origin,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
2000010534,Juf Roos,juf-roos-2,Bibber bibber met Juf Roos,nl-nl,audio-book-songs,tunes,570bd17a-ae5a-4c06-a5a4-7d95a7d2ab81,https://tonies.com/de-de/audio-content/juf-roos-2/bibber-bibber-met-juf-roos/,1,0,0,0
2000010539,De Fabeltjeskrant,de-fabeltjeskrant-2,De Fabeltjeskrant - De Grote Dierenbos Spelen,nl-nl,audio-book,tunes,f5e37e47-192c-44fa-aea6-e6899f68dac1,https://tonies.com/de-de/audio-content/de-fabeltjeskrant-2/de-fabeltjeskrant-de-grote-dierenbos-spelen/,1,0,0,0
2000010540,De Fabeltjeskrant,de-fabeltjeskrant-2,De Fabeltjeskrant-De spannende picknick,nl-nl,audio-book,tunes,19bb14eb-dca2-45a3-8584-f10484877e3e,https://tonies.com/de-de/audio-content/de-fabeltjeskrant-2/de-fabeltjeskrant-de-spannende-picknick/,1,0,0,0
2000010541,De Fabeltjeskrant,de-fabeltjeskrant-2,De Fabeltjeskrant - Pandamonium,nl-nl,audio-book,tunes,19828149-dd89-493c-a192-116a9f7eb5b7,https://tonies.com/de-de/audio-content/de-fabeltjeskrant-2/de-fabeltjeskrant-pandamonium/,1,0,0,0
2000010569,Juf Roos,juf-roos-2,Naar het circus met Juf Roos,nl-nl,audio-book,tunes,33f9b832-c8eb-43bf-a227-697254ab7536,https://tonies.com/de-de/audio-content/juf-roos-2/naar-het-circus-met-juf-roos/,1,0,0,0
2000010570,Juf Roos,juf-roos-2,Naar school met Juf Roos,nl-nl,audio-book,tunes,0655ba6b-5593-4d1c-af38-50487289f6ff,https://tonies.com/de-de/audio-content/juf-roos-2/naar-school-met-juf-roos/,1,0,0,0
2000010572,Pippi Langstrumpf,pippi-langstrumpf,Pippi gaat aan boord,nl-nl,audio-book,tunes,2f9812cb-2ac6-4cb9-a89b-91d5afbc4902,https://tonies.com/de-de/audio-content/pippi-langstrumpf/pippi-gaat-aan-boord/,1,0,0,0
2000010579,Juf Roos,juf-roos-2,Zing mee met Juf Roos,nl-nl,music,tunes,8cc02c61-e2de-40d8-8fef-317a55158b76,https://tonies.com/de-de/audio-content/juf-roos-2/zing-mee-met-juf-roos/,1,0,0,0
2000010614,"Nijntjes avonturen, groot en klein",nijntjes-avonturen,Nijntje en vriendjes,nl-nl,audio-play,tunes,c2879698-5bee-4824-b6f4-16287788225e,https://tonies.com/de-de/audio-content/nijntjes-avonturen/nijntje/,1,0,0,0
2000010770,De Smurfen,,Verhalenbundel 5,nl-nl,audio-play,tunes,4334aca6-37a6-46fb-a3d2-a1058e115fff,https://tonies.com/de-de/audio-content/de-smurfen-verhalenbundel-5/,1,0,0,0
2000010771,De Smurfen,,Verhalenbundel 2,nl-nl,audio-play,tunes,0678a7b4-abfd-4cec-9b26-9041e3adef32,https://tonies.com/de-de/audio-content/de-smurfen-verhalenbundel-2/,1,0,0,0
2000010772,De Smurfen,,Verhalenbundel 6,nl-nl,audio-play,tunes,9462a88c-6484-4829-af98-734772d4a89e,https://tonies.com/de-de/audio-content/de-smurfen-verhalenbundel-6/,1,0,0,0
