article,series,series-id,episode,language,category,origin,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
10000511,Disney & Pixar,,Toy Story: Woody,en-us,Tonie,stock,5519373369495,,1,0,0,0
10000512,Disney,,Cinderella,en-us,Tonie,stock,5519095791767,,1,0,0,0
10000513,Disney & Pixar,,Finding Nemo,en-us,Tonie,stock,5519143960727,,1,0,0,0
10000685,Disney & Pixar,,Toy Story 2: Buzz Lightyear,en-us,Tonie,stock,7223047848087,,1,0,0,0
10001082,The Pout-Pout Fish,,,en-us,Tonie,stock,8210621038743,,1,0,0,0
10001227,Roald Dahl,,Revolting Rhymes,en-us,Tonie,stock,8041066135703,,1,0,0,0
10001241,Coming Soon,,Black Panther,en-us,Tonie,stock,8250222477463,,1,0,0,0
10001366,GoNoodle x tonies® Mindfulness,,,en-us,Tonie,stock,6664641773719,,1,1,0,0
10002041,Roald Dahl,,The Enormous Crocodile & Other Animal Stories,en-us,Tonie,stock,8016778395799,,1,0,0,0
10002570,tonies® x Steiff Jimmy Bear,,,en-us,Accessory,stock,,,1,1,0,0
10002571,tonies® x Steiff Hoppie Rabbit,,,en-us,Accessory,stock,,,1,0,0,0
11000405,Make Way for Ducklings,,,en-us,Tonie,stock,8134567002263,,1,0,0,0
11000441,National Geographic Kids,,Octopus,en-us,Tonie,stock,8143490941079,,1,0,0,0
11000445,Octonauts,,Peso,en-us,Tonie,stock,8031548899479,,1,0,0,0
11000447,Planet Omar,,Accidental Trouble Magnet,en-us,Tonie,stock,7907850649751,,1,1,0,0
11000457,Calm x tonies®,,,en-us,Tonie,stock,7806525866135,,1,1,0,0
11000886,Clever Tonies Set,,Cool Jobs,en-us,Tonie,stock,8134563299479,,1,0,0,0
43314534219927,The Elf on the Shelf,,,en-us,Tonie,stock,8072067055767,,1,0,0,0
43314558009495,Favorite Masterpieces,,The Nutcracker,en-us,Tonie,stock,8072076656791,,1,0,0,0
43314564169879,Maestro,,,en-us,Tonie,stock,8072079147159,,1,0,0,0
43478247014551,Potty Training,,,en-us,Tonie,stock,8134364266647,,1,0,0,0
43478296232087,The Pontypandy Pack,,Fireman Sam,en-us,Tonie,stock,8134366888087,,1,0,0,0
43478301802647,Vanessa Brantley-Newton,,Grandma's Purse and Other Stories,en-us,Tonie,stock,8134367019159,,1,0,0,0
43479451500695,Care Bears,,Funshine Bear,en-us,Tonie,stock,8134562447511,,1,0,0,0
