article,series,series-id,episode,language,category,origin,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
10000858,La Reine Des Neiges,disney-frozen,La Reine Des Neiges,fr-fr,audio-play-songs,stock,8fcd15ed-3848-41e0-bc08-e6ed53290266,https://tonies.com/fr-fr/tonies/disney-la-reine-des-neiges/la-reine-des-neiges/,1,0,0,0
10000860,Le Monde De Nemo,disney-finding-nemo,Le Monde de Nemo,fr-fr,audio-play,stock,393898d2-0aad-4838-b188-c1f180748fe7,https://tonies.com/fr-fr/tonies/disney-le-monde-de-nemo/le-monde-de-nemo/,1,0,0,0
10000862,Cars,disney-cars,Cars,fr-fr,audio-play,stock,51f37e39-b99e-49f8-b5e9-c6b8d56f27e9,https://tonies.com/fr-fr/tonies/disney-cars/cars/,1,1,0,0
10000865,Le Livre De La Jungle,disney-the-jungle-book,Le Livre De La Jungle,fr-fr,audio-play-songs,stock,5f3b8601-90e7-4724-afef-3994c1db4665,https://tonies.com/fr-fr/tonies/disney-le-livre-de-la-jungle/le-livre-de-la-jungle/,1,1,0,0
10000866,Le Roi Lion,disney-the-lion-king,Le Roi Lion,fr-fr,audio-play-songs,stock,607a5048-89ce-43a2-96dd-cdedee0b2e23,https://tonies.com/fr-fr/tonies/disney-le-roi-lion/le-roi-lion/,1,1,0,0
10001010,Aladdin,disney-aladdin,Aladdin,fr-fr,audio-play-songs,stock,9473a217-b174-49af-abca-df2ffb3f10fe,https://tonies.com/fr-fr/tonies/disney-aladdin/aladdin/,1,1,0,0
10001012,Disney,disney,La Princesse Et La Grenouille,fr-fr,audio-play-songs,stock,ce8463ff-9a07-427f-9076-817b96e99eaf,https://tonies.com/fr-fr/tonies/disney/la-princesse-et-la-grenouille/,1,0,0,0
10001016,C'Est Toujours Pas Sorcier,c-est-toujours-pas-sorcier,Sur Les Traces Des Dinosaures,fr-fr,audio-play-educational,stock,a5433bd6-3436-4dbb-aa0c-3e36b239f155,https://tonies.com/fr-fr/tonies/c-est-toujours-pas-sorcier/sur-les-traces-des-dinosaures/,1,0,0,0
10001101,Sam Le Pompier,feuerwehrmann-sam,Sam Le Pompier,fr-fr,audio-play,stock,89f24260-e629-4b19-a78d-a896d9bc101c,https://tonies.com/fr-fr/tonies/sam-le-pompier/sam-le-pompier/,1,0,0,0
10001104,Cendrillon,disney-cinderella,Cendrillon,fr-fr,audio-play-songs,stock,843fc10b-e16e-4ee2-a8e1-1a187a2dd895,https://tonies.com/fr-fr/tonies/disney-cendrillon/cendrillon/,1,0,0,0
10001220,Les 101 Dalmatiens,disney-101-dalmatians,Les 101 Dalmatiens,fr-fr,audio-play-songs,stock,bb3d5f35-347f-4e04-8478-44ac94e99926,https://tonies.com/fr-fr/tonies/disney-les-101-dalmatiens/les-101-dalmatiens/,1,0,0,0
10001247,L'Heure De La Sieste,l-heure-de-la-sieste,Bruit Blanc,fr-fr,music,stock,8476f287-de40-4ee7-8919-b7798a4c4b41,https://tonies.com/fr-fr/tonies/l-heure-de-la-sieste/bruit-blanc/,1,0,0,0
10001261,C'Est Toujours Pas Sorcier,c-est-toujours-pas-sorcier,Plongée Dans Les Océans,fr-fr,audio-play-educational,stock,eec0c5c9-e292-4d0a-b48a-eec64d447cc8,https://tonies.com/fr-fr/tonies/c-est-toujours-pas-sorcier/plongee-dans-les-oceans/,1,0,0,0
10001262,C'Est Toujours Pas Sorcier,c-est-toujours-pas-sorcier,Les Secrets De L'Espace,fr-fr,audio-play-educational,stock,f0f0f01e-7fe2-4b10-beab-f6fd0f645a29,https://tonies.com/fr-fr/tonies/c-est-toujours-pas-sorcier/les-secrets-de-l-espace/,1,0,0,0
10001266,La Pat' Patrouille,paw-patrol,Stella,fr-fr,audio-play,stock,464a08bb-7421-4ae0-a113-42f57c19142d,https://tonies.com/fr-fr/tonies/la-pat-patrouille/stella/,1,0,0,1
10001268,Peppa Pig,peppa-pig,George,fr-fr,audio-play,stock,c635652d-7763-4d14-a3fc-737c6f73e066,https://tonies.com/fr-fr/tonies/peppa-pig/george/,1,0,0,0
10001283,Molang,molang,Molang,fr-fr,audio-play,stock,3a221db1-2e9d-47aa-b27d-3dfc5d974ba9,https://tonies.com/fr-fr/tonies/molang/molang/,1,0,0,1
10001287,Joyeuses Fêtes Avec Olaf,disney-olafs-frozen-adventure,Joyeuses Fêtes Avec Olaf,fr-fr,audio-play-songs,stock,73ede02d-f524-412d-b675-0d5091abd561,https://tonies.com/fr-fr/tonies/disney-la-reine-des-neiges-joyeuses-fetes-avec-olaf/joyeuses-fetes-avec-olaf/,1,0,0,0
10001349,Les Copains Du Dodo,sleepy-friends,Doudou Mouton,fr-fr,music,stock,ce11f0b3-a483-4c3f-8117-2cf11d231b74,https://tonies.com/fr-fr/tonies/les-copains-du-dodo/doudou-mouton/,1,1,0,0
10001408,Contes Du Monde,contes-du-monde,Afrique De L'Ouest,fr-fr,audio-book,stock,e8abdc4f-8c26-4912-989d-d0f4fd761dbb,https://tonies.com/fr-fr/tonies/contes-du-monde/afrique-de-l-ouest/,1,0,0,0
10001475,Winnie L'Ourson,disney-winnie-the-pooh,Winnie L'Ourson,fr-fr,audio-play-songs,stock,799ac6f2-89f7-4b5b-b60a-014ae758f218,https://tonies.com/fr-fr/tonies/disney-winnie-lourson/winnie-l-ourson/,1,0,0,0
10001476,Mickey Et Ses Amis,disney-mickey-mouse-friends,Vol À Bord De L'Overland Express : Mystères Sur Les Rails,fr-fr,audio-play,stock,18cbd060-3238-4c62-9351-5697d3fa3f9d,https://tonies.com/fr-fr/tonies/disney-mickey-et-ses-amis/vol-a-bord-de-l-overland-express-mystere-sur-les-rails/,1,0,0,0
10001479,Masha Et Michka,mascha-und-der-bar,Masha,fr-fr,audio-play-songs,stock,d1b4b1df-462f-480b-8b51-0e51dd40d037,https://tonies.com/fr-fr/tonies/masha-et-michka/masha/,1,0,0,0
10001482,Club Écolo,club-ecolo-2,Sauvetages en Terre !,fr-fr,audio-play,stock,7bf5eeb6-1e86-4986-ab39-f7e652f30b5d,https://tonies.com/fr-fr/tonies/club-ecolo/sauvetages-en-terre/,1,0,0,0
10001502,Disney,disney,Mulan,fr-fr,audio-play-songs,stock,1736ecb5-2f5d-4ef3-bc8e-4b4ae7760da3,https://tonies.com/fr-fr/tonies/disney/mulan/,1,0,0,0
10001505,Molang,molang,Molang 2,fr-fr,audio-play,stock,31332cee-e470-43ab-960b-34ec742b6a03,https://tonies.com/fr-fr/tonies/molang/molang-2/,1,0,0,1
10001588,Les Copains Du Dodo,sleepy-friends,Doudou Nounours,fr-fr,audio-play,stock,b32e297f-191e-4b8f-afbc-7067b5ebe8ef,https://tonies.com/fr-fr/tonies/les-copains-du-dodo/doudou-nounours/,1,0,0,0
10001589,Ma Pause Zen,ma-pause-zen,Séances Méditatives De Max Larelax,fr-fr,audio-book,stock,b338ac50-ea5c-4973-b479-f1615829cef0,https://tonies.com/fr-fr/tonies/ma-pause-zen/seances-meditatives-de-max-larelax/,1,0,0,1
10001657,Les Copains Du Dodo,sleepy-friends,Doudou Lapinou,fr-fr,music,stock,faac4e19-c7b9-4b48-b1a7-29dccb8b269c,https://tonies.com/fr-fr/tonies/les-copains-du-dodo/doudou-lapinou/,1,0,0,0
10001661,La Pat' Patrouille,paw-patrol,Ruben,fr-fr,audio-play,stock,21e72def-75cd-42cd-bc9d-f02e4b5d9dbf,https://tonies.com/fr-fr/tonies/la-pat-patrouille/ruben/,1,0,0,0
10001674,Spidey Et Ses Amis Extraordinaires,marvel-spidey-and-his-amazing-friends,Spidey,fr-fr,audio-play-songs,stock,78c524ce-a4c1-45fe-b515-cfd762894a5e,https://tonies.com/fr-fr/tonies/spidey-et-ses-amis-extraordinaires/spidey/,1,0,0,0
10001724,Club Écolo,club-ecolo-2,Sauvetages En Mer !,fr-fr,audio-play,stock,5fc8a845-873d-4bec-b5b7-b1b91ee10e3c,https://tonies.com/fr-fr/tonies/club-ecolo/sauvetages-en-mer/,1,0,0,0
10001901,Séléna Sans Chichis Ni Tralala,selena-sans-chichis-ni-tralala-2,Plongée Insolite Dans Moby Dick,fr-fr,audio-play-songs,stock,15772168-b7eb-43d1-bc22-7539315ded9a,https://tonies.com/fr-fr/tonies/selena-sans-chichis-ni-tralala/plongee-insolite-dans-moby-dick/,1,0,0,0
10001905,Peppa Pig,peppa-pig-2,Histoires Du Soir,fr-fr,audio-play,stock,1bbe5e06-c7d1-4909-a4eb-ff466dd7bd62,https://tonies.com/fr-fr/tonies/peppa-pig/histoires-du-soir/,1,0,0,0
